codigo,descricao_curta,Peso,altura,largura,comprimento,preco
380,CHOKER CARTIE BANHADA OURO 18K - CARTLD16,,,,,"269,00"
381,BRINCO EAR CUFF CORACAO VAZADO BANH OURO 18K - BR49,,,,,"52,90"
383,BRINCO GOTA VAZADA COM PEROLA BANH OURO - BC854,,,,,"48,50"
384,BRINCO QUADRADO GROSSO ABERTO BANH OURO 18K - BR630,,,,,"79,90"
387,BRINCO GOTA RETA C STRASS BANH OURO 18K - BZ588,,,,,"114,90"
388,BRINCO GOTA TORTA BANH OURO 18K - BZ585,,,,,"114,90"
389,BRINCO ARGOLA TRIPLA BANHADO OURO 18K - BO2114,,,,,"132,90"
391,BRINCO ARGOLA DUPLA DIAMANTADA BANH OURO 18K - BO2215,,,,,"67,90"
392,BRINCO PEDRAS FESTA BANH OURO 18K - BR1835,,,,,"57,90"
396,BRINCO ARGOLA ABERTA FIO TORCIDO GRANDE - BR17,,,,,"54,90"
397,BRINCO ESFERA GRANDE BANH OURO 18K - 01103,,,,,"59,90"
399,GARGANTILHA PONTO LUZ MEDIA BANH OURO 18K - CD1095,,,,,"75,90"
402,COLAR DUPLO CORACAO  BANHADO OURO - KI144,,,,,"134,90"
403,GARGANTILHA CORDAO BAIANO BANH OURO - L360,,,,,"249,00"
404,CHOKER ELOS OVAL BANHADO OURO - GF8809,,,,,"159,00"
405,COLAR COM 2 FILHOS BANHADO OURO 18K - L1277,,,,,"99,00"
